regcode;sepa;name;name_before_quotes;name_in_quotes;name_after_quotes;without_quotes;regtype;regtype_text;type;type_text;registered;terminated;closed;address;index;addressid;region;city;atvk;reregistration_term
50002172701;LV45ZZZ50002172701;IK EUROKONT;IK;EUROKONT;"";1;K;Komercreģistrs;IK;Individuālais komersants;2014-09-30;; ;Rīga, Neretas iela 2 - 9;1004;118038565;0;100003003;0010000;
40008228763;LV12ZZZ40008228763;"""MĀJAS APSAIMNIEKOŠANA""";"";MĀJAS APSAIMNIEKOŠANA;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2014-10-07;; ;Jelgavas nov., Cenu pag., Brankas, Spartaka iela 9 - 13;3042;115524146;100016534;0;0546744;
44103118474;LV29ZZZ44103118474;"SIA ""JG Fitness""";SIA;JG Fitness;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2018-09-04;; ;Valmieras nov., Valmiera, Pārgaujas iela 12 - 4;4201;119165152;100016647;100003807;0250000;
41502039796;LV08ZZZ41502039796;"IK ""POWER TEST""";IK;POWER TEST;"";0;K;Komercreģistrs;IK;Individuālais komersants;2020-06-30;; ;Augšdaugavas nov., Višķu pag., Višķu tehnikums, 5 - 20;5481;116960711;100016462;0;0440298;
50103629181;LV93ZZZ50103629181;"Sabiedrība ar ierobežotu atbildību ""MAXIMUS SOLUTIONS""";Sabiedrība ar ierobežotu atbildību;MAXIMUS SOLUTIONS;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2013-01-24;2015-02-11;L;Rīga, Kalnciema iela 97-5;1046;113087036;0;100003003;0010000;
41502039809;LV45ZZZ41502039809;MedveDJ IK;"";MedveDJ;IK;1;K;Komercreģistrs;IK;Individuālais komersants;2020-07-03;; ;Daugavpils, Saules iela 4 - 8;5401;116123047;0;100003011;0050000;
40103312231;LV77ZZZ40103312231;"Sabiedrība ar ierobežotu atbildību ""Free Trans""";Sabiedrība ar ierobežotu atbildību;Free Trans;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2010-08-06;2015-02-11;L;Rīga, Kalnciema iela 97-5;1046;113087036;0;100003003;0010000;
44101017469;LV12ZZZ44101017469;"Cēsu rajona Drabešu pagasta zemnieku saimniecība ""VECLAUČI""";Cēsu rajona Drabešu pagasta zemnieku saimniecība;VECLAUČI;"";0;U;Uzņēmumu reģistra žurnāls;ZEM;Zemnieku saimniecība;1994-11-25;2017-04-12;L;"Amatas nov., Drabešu pag., ""Veclauči""";4139;104236640;100015276;0;0424746;
40003538236;LV71ZZZ40003538236;"Sabiedrība ar ierobežotu atbildību ""GRATA PLUS""";Sabiedrība ar ierobežotu atbildību;GRATA PLUS;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2001-03-26;2015-02-11;L;Rīga, Krišjāņa Valdemāra iela 118;1013;101133520;0;100003003;0010000;
40002012216;LV18ZZZ40002012216;"SIA ""Dzirkstelītes""";SIA;Dzirkstelītes;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1993-10-04;2015-02-11;L;Rīga, Tēraudlietuves iela 2-3;1026;113217337;0;100003003;0010000;
40002161528;;"IK ""SAULES ROTAS""";IK;SAULES ROTAS;"";0;K;Komercreģistrs;IK;Individuālais komersants;2011-07-07;2013-12-11;L;Ķekavas nov., Ķekavas pag., Katlakalns, Krizantēmu iela 16;2111;104895553;100015950;0;0800870;
40003620841;LV57ZZZ40003620841;"Sabiedrība ar ierobežotu atbildību ""Communications Expert""";Sabiedrība ar ierobežotu atbildību;Communications Expert;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2003-02-27;2014-04-10;L;Rīga, Grēcinieku iela 1;1050;101832875;0;100003003;0010000;
40103304198;LV76ZZZ40103304198;"Sabiedrība ar ierobežotu atbildību ""FAVORĪTS REAL ESTATE""";Sabiedrība ar ierobežotu atbildību;FAVORĪTS REAL ESTATE;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2010-07-02;2015-02-11;L;Rīga, Maskavas iela 438;1063;101944093;0;100003003;0010000;
40003470770;;"SIA ""KRIPTO K""";SIA;KRIPTO K;"";0;U;Uzņēmumu reģistra žurnāls;SIA;Sabiedrība ar ierobežotu atbildību;1999-12-01;2003-12-17;L;Rīga, Rododendru iela 5-7;1083;113974575;0;100003003;0010000;
40103384988;LV82ZZZ40103384988;"SIA ""Muflai""";SIA;Muflai;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2011-02-24;2014-04-09;L;Rīga, Kāpu prospekts 2-2;1030;112167356;0;100003003;0010000;
40103325274;LV26ZZZ40103325274;"Sabiedrība ar ierobežotu atbildību ""Smart Sales""";Sabiedrība ar ierobežotu atbildību;Smart Sales;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2010-09-23;2014-04-09;L;Rīga, Bākas iela 11;1030;105045952;0;100003003;0010000;
40003766227;;"SIA ""KATTEKS""";SIA;KATTEKS;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2005-09-06;2013-12-12;L;Rīga, Putnu iela 30-9;1058;114006186;0;100003003;0010000;
40003782503;;"Sabiedrība ar ierobežotu atbildību ""DV Investments""";Sabiedrība ar ierobežotu atbildību;DV Investments;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2005-11-15;2013-12-12;L;Olaines nov., Olaine, Rūpnīcu iela 4;2114;102679373;100016077;100003567;0800900;
42103046676;LV23ZZZ42103046676;SIA AdGuru;SIA;AdGuru;"";1;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2008-10-30;2018-09-04;L;Liepāja, Jaunā iela 6;3401;102411674;0;100003044;0170000;
40003261545;LV79ZZZ40003261545;"Sabiedrība ar ierobežotu atbildību ""BROVI HOLDING""";Sabiedrība ar ierobežotu atbildību;BROVI HOLDING;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1995-08-02;2014-04-10;L;Rīga, Aspazijas bulvāris 36/38;1050;101816596;0;100003003;0010000;
44103023436;LV17ZZZ44103023436;"SIA ""BTV VENDENE""";SIA;BTV VENDENE;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2001-06-14;; ;"Cēsu nov., Vaives pag., ""Brūži""";4136;100010861;100016487;0;0429000;
40008219402;LV74ZZZ40008219402;"""NĀCIJAS IZLĪGUMS""";"";NĀCIJAS IZLĪGUMS;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2014-01-15;2015-11-30;L;Rīga, Krišjāņa Valdemāra iela 33-5;1010;118370165;0;100003003;0010000;
40003791050;;"Sabiedrība ar ierobežotu atbildību ""Arctic Capital""";Sabiedrība ar ierobežotu atbildību;Arctic Capital;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2005-12-20;2013-12-12;L;Olaines nov., Olaine, Rūpnīcu iela 4;2114;102679373;100016077;100003567;0800900;
44103030781;;"SIA ""V.L.T. PLUS""";SIA;V.L.T. PLUS;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2004-02-18;2013-12-12;R;Valmiera, Mūrmuižas iela 5;4201;102055614;0;100003735;0960100;
40003781264;LV74ZZZ40003781264;"Sabiedrība ar ierobežotu atbildību ""LAISET""";Sabiedrība ar ierobežotu atbildību;LAISET;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2005-11-09;2018-04-24;L;Rīga, Maskavas iela 222C - 15;1019;112336883;0;100003003;0010000;
52103046911;LV18ZZZ52103046911;"Sabiedrība ar ierobežotu atbildību ""PRIEDELAT""";Sabiedrība ar ierobežotu atbildību;PRIEDELAT;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2008-12-08;2018-09-04;L;Rīga, Brīvības gatve 199A;1035;103409288;0;100003003;0010000;
40003848627;"";"Sabiedrība ar ierobežotu atbildību ""ConstrAL""";Sabiedrība ar ierobežotu atbildību;ConstrAL;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2006-08-15;2010-04-29;L;Stopiņu nov., Rumbula, Šķeltu iela 12-1;2121;117566600;100015460;0;0809600;
40008155385;LV90ZZZ40008155385;"Ģimenes un bērnu atbalsta centrs ""Drošā pietura""";Ģimenes un bērnu atbalsta centrs;Drošā pietura;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2010-03-12;; ;Balvu nov., Balvi, Ezera iela 16 - 51;4501;115291958;100015741;100003124;0380201;
40103971230;LV08ZZZ40103971230;"SIA ""SEVENTY""";SIA;SEVENTY;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2016-02-22;2018-09-04;L;Olaines nov., Olaine, Zemgales iela 28 - 57;2114;114445841;100016077;100003567;0801009;
40103763566;LV45ZZZ40103763566;"Sabiedrība ar ierobežotu atbildību ""Parvuss""";Sabiedrība ar ierobežotu atbildību;Parvuss;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2014-02-27;2018-09-04;L;Rīga, Katlakalna iela 13;1073;102646938;0;100003003;0010000;
40003983869;;"Sabiedrība ar ierobežotu atbildību ""Parking Service""";Sabiedrība ar ierobežotu atbildību;Parking Service;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2008-01-15;2011-10-04;L;Rīga, Brīvības iela 73-4;1010;111834461;0;100003003;0010000;
40103583768;LV32ZZZ40103583768;"Sabiedrība ar ierobežotu atbildību ""MELO""";Sabiedrība ar ierobežotu atbildību;MELO;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2012-09-06;2018-09-04;L;Salaspils nov., Salaspils, Silmaļu iela 17 - 30;2121;117469527;100015485;100003575;0801231;
40103402408;LV95ZZZ40103402408;"SIA ""airbay""";SIA;airbay;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2011-04-05;2018-04-24;L;Rīga, Rūpniecības iela 14 - 23;1010;113939436;0;100003003;0010000;
40003981497;;"Sabiedrība ar ierobežotu atbildību ""Cronuss Capital""";Sabiedrība ar ierobežotu atbildību;Cronuss Capital;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2008-01-04;2011-08-31;L;Rīga, Braslas iela 27-8;1084;117463493;0;100003003;0010000;
40103503279;LV47ZZZ40103503279;"SIA ""Roadworks""";SIA;Roadworks;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2012-01-20;2014-04-14;L;Jūrmala, Bulduru prospekts 64/68;2010;103155360;0;100003036;0130000;
40003860206;;"Sabiedrība ar ierobežotu atbildību ""Haus service ltd""";Sabiedrība ar ierobežotu atbildību;Haus service ltd;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2006-09-26;2013-12-11;R;Rīga, Avotu iela 13;1011;101858955;0;100003003;0010000;
40103522956;LV37ZZZ40103522956;"SIA ""NOX SECURITY""";SIA;NOX SECURITY;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2012-03-14;2018-09-04;L;Jūrmala, Bišu iela 10A;2012;102457165;0;100003036;0130000;
50103573761;LV14ZZZ50103573761;"SIA ""U-SERVISS""";SIA;U-SERVISS;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2012-08-07;; ;Rīga, Brīvības gatve 354 - 5;1006;111806818;0;100003003;0010000;
40003316025;LV27ZZZ40003316025;"Sabiedrība ar ierobežotu atbildību ""OL VERA""";Sabiedrība ar ierobežotu atbildību;OL VERA;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1996-11-05;2014-04-10;R;Rīga, Vienības gatve 113;1058;104534923;0;100003003;0010000;
40103223770;;"Sabiedrība ar ierobežotu atbildību ""DVLG""";Sabiedrība ar ierobežotu atbildību;DVLG;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2009-04-06;2013-12-12;L;Tukuma nov., Tukums, Eksporta iela 8;3101;105416854;100016261;100003671;0900100;
40103409425;;"SIA ""DNS SERVICES""";SIA;DNS SERVICES;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2011-04-21;2013-12-12;L;Rīga, Krustabaznīcas iela 12B;1006;105095314;0;100003003;0010000;
40003564633;LV11ZZZ40003564633;"Sabiedrība ar ierobežotu atbildību ""SKIFS FK""";Sabiedrība ar ierobežotu atbildību;SKIFS FK;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2001-10-09;2014-04-15;L;Carnikavas nov., Kalngale, Stērstu iela 26;2163;104422581;100015508;0;0805200;
40003559702;LV64ZZZ40003559702;"Sabiedrība ar ierobežotu atbildību ""CT Noma""";Sabiedrība ar ierobežotu atbildību;CT Noma;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2001-08-31;; ;Rīga, Ventspils iela 48;1002;104227471;0;100003003;0010000;
40003350932;LV87ZZZ40003350932;"Sabiedrība ar ierobežotu atbildību ""MESER""";Sabiedrība ar ierobežotu atbildību;MESER;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1997-07-17;2016-12-28;L;Jūrmala, Tirzas iela 33 - 23;2011;116407825;0;100003036;0130000;
40003744234;LV08ZZZ40003744234;"Sabiedrība ar ierobežotu atbildību ""ALAIRA""";Sabiedrība ar ierobežotu atbildību;ALAIRA;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2005-05-17;2016-12-28;L;Jūrmala, Ievu iela 9 - 40;2015;116374294;0;100003036;0130000;
40002113621;LV05ZZZ40002113621;"IK ""Realty MD""";IK;Realty MD;"";0;K;Komercreģistrs;IK;Individuālais komersants;2005-08-17;; ;Rīga, Lielvārdes iela 109 - 65;1084;112630765;0;100003003;0010000;
40003598771;LV76ZZZ40003598771;"Sabiedrība ar ierobežotu atbildību ""OTRĀ EKSPOLĪNIJA""";Sabiedrība ar ierobežotu atbildību;OTRĀ EKSPOLĪNIJA;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2002-08-02;2020-03-23;L;Rīga, Dzirnavu iela 31 - 25;1010;111646541;0;100003003;0010000;
40103621970;LV76ZZZ40103621970;"SIA ""LC & PARTNERS""";SIA;LC & PARTNERS;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2013-01-04;2017-05-17;L;Rīga, Elizabetes iela 2 - 319;1010;118066473;0;100003003;0010000;
40008035180;;"""Balvu Informācijas Tehnoloģiju Aģentūra""";"";Balvu Informācijas Tehnoloģiju Aģentūra;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;1998-05-27;2013-12-10;L;Balvu nov., Balvi, Tautas iela 14;4501;101610706;100015741;100003124;0380100;
40003981232;;"Sabiedrība ar ierobežotu atbildību ""Koltex""";Sabiedrība ar ierobežotu atbildību;Koltex;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2008-01-03;2012-10-18;L;Rīga, Aleksandra Čaka iela 55-344;1011;101108538;0;100003003;0010000;
40002103784;LV18ZZZ40002103784;"IK ""B.O.V.""";IK;B.O.V.;"";0;K;Komercreģistrs;IK;Individuālais komersants;2004-05-18;; ;Rīga, Dzeņu iela 1 - 106;1021;111215793;0;100003003;0010000;
40003653772;LV22ZZZ40003653772;"""Steremat Projektgesellschaft Rīga"" SIA";"";Steremat Projektgesellschaft Rīga;SIA;0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2003-11-19;2016-09-16;L;Rīga, Blaumaņa iela 5A;1011;101821758;0;100003003;0010000;
41503000287;LV89ZZZ41503000287;"Sabiedrība ar ierobežotu atbildību ""ORA MENS""";Sabiedrība ar ierobežotu atbildību;ORA MENS;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1991-05-15;; ;Daugavpils, Zemnieku iela 4;5415;102589465;0;100003011;0050000;
44101023183;LV61ZZZ44101023183;"Cēsu rajona Drabešu pagasta zemnieku saimniecība ""ŪBELES""";Cēsu rajona Drabešu pagasta zemnieku saimniecība;ŪBELES;"";0;U;Uzņēmumu reģistra žurnāls;ZEM;Zemnieku saimniecība;1996-04-17;2017-04-12;L;"Amatas nov., Drabešu pag., ""Ūbeles""";4140;100010716;100015276;0;0424746;
40103594032;LV33ZZZ40103594032;"Sabiedrība ar ierobežotu atbildību ""F.G. Moduls""";Sabiedrība ar ierobežotu atbildību;F.G. Moduls;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2012-10-08;2017-05-17;L;Rīga, Lāčplēša iela 41A;1011;104982890;0;100003003;0010000;
40002017425;LV25ZZZ40002017425;"Tukuma rajona V.Kupcovas individuālais tirdzniecības uzņēmums ""MAKSIMILIANS""";Tukuma rajona V.Kupcovas individuālais tirdzniecības uzņēmums;MAKSIMILIANS;"";0;U;Uzņēmumu reģistra žurnāls;IND;Individuālais uzņēmums;1994-04-04;2015-02-11;L;Tukuma nov., Tukums, Aviācijas iela 10-35;"";114559184;100016261;100003671;0900100;
40002170249;LV60ZZZ40002170249;"IK ""EB MOTORS""";IK;EB MOTORS;"";0;K;Komercreģistrs;IK;Individuālais komersants;2013-12-03;2015-02-11;L;Rīga, Graudu iela 68;1058;101832850;0;100003003;0010000;
40103513421;LV44ZZZ40103513421;"Sabiedrība ar ierobežotu atbildību ""AT Partners""";Sabiedrība ar ierobežotu atbildību;AT Partners;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2012-02-17;2015-02-11;L;Rīga, Ieroču iela 1-27;1013;117628311;0;100003003;0010000;
40103397041;LV86ZZZ40103397041;"Sabiedrība ar ierobežotu atbildību ""TROJAS ZIRGS""";Sabiedrība ar ierobežotu atbildību;TROJAS ZIRGS;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2011-03-24;; ;Rīga, Brīvības iela 142 - 19;1012;111851734;0;100003003;0010000;
50203137091;LV89ZZZ50203137091;"SIA ""El Garlic""";SIA;El Garlic;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2018-04-13;; ;Rīga, Prūšu iela 1 k-2 - 12;1063;112772537;0;100003003;0010000;
40203183563;LV05ZZZ40203183563;SIA EKO AGRO21;SIA;EKO AGRO21;"";1;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2018-12-03;; ;"Madonas nov., Jumurdas pag., ""Skrandi""";4844;103514666;100016671;0;"";
40103843058;LV80ZZZ40103843058;SIA 2K;SIA;2K;"";1;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2014-11-06;2020-03-23;L;Rīga, Rumbulas iela 7 - 29;1035;113287018;0;100003003;0010000;
40203069802;LV47ZZZ40203069802;"SIA ""Redrift""";SIA;Redrift;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2017-05-17;; ;Ķekavas nov., Ķekavas pag., Katlakalns, Pļavniekkalna iela 61;2111;104896081;100015950;0;0800870;
50008174301;LV98ZZZ50008174301;"""Rigensis""";"";Rigensis;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2011-03-11;2014-10-03;L;Rīga, Robežu iela 3 k-7 -5;1004;113482386;0;100003003;0010000;
40002103820;LV16ZZZ40002103820;"Individuālais komersants ""Modāls""";Individuālais komersants;Modāls;"";0;K;Komercreģistrs;IK;Individuālais komersants;2004-05-20;; ;Saulkrastu nov., Saulkrastu pag., Zvejniekciems, Bērzu aleja 3 - 32;2161;114430838;100015620;0;0801433;
40003785815;LV96ZZZ40003785815;"SIA ""SAMANDA""";SIA;SAMANDA;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2005-11-29;2015-02-24;L;Rīga, Lubānas iela 82;1073;102999800;0;100003003;0010000;
40103418470;LV11ZZZ40103418470;"Sabiedrība ar ierobežotu atbildību ""MARETEH""";Sabiedrība ar ierobežotu atbildību;MARETEH;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2011-05-19;2018-04-24;L;Rīga, Ziemeļu iela 7 - 4;1005;113733435;0;100003003;0010000;
44103122658;LV66ZZZ44103122658;"Sabiedrība ar ierobežotu atbildību ""EK Cleaning""";Sabiedrība ar ierobežotu atbildību;EK Cleaning;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2019-04-30;; ;"Smiltenes nov., Grundzāles pag., ""Dārznieki""";4713;103217625;100016237;0;0941658;
40002177444;LV86ZZZ40002177444;"IK ""JUNA""";IK;JUNA;"";0;K;Komercreģistrs;IK;Individuālais komersants;2016-05-31;; ;"Jelgavas nov., Kalnciema pag., ""Baltiņi 2""";3016;104814224;100015895;0;0540258;
40008153702;LV38ZZZ40008153702;"""Brīvstils""";"";Brīvstils;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2010-02-10;; ;Rīga, Dzelzavas iela 76 k-4 - 42;1082;111547214;0;100003003;0010000;
40002072643;LV29ZZZ40002072643;"O.Ivanova individuālais uzņēmums Rīgas pilsētas ražošanas komercfirma ""VEDO I""";O.Ivanova individuālais uzņēmums Rīgas pilsētas ražošanas komercfirma;VEDO I;"";0;U;Uzņēmumu reģistra žurnāls;IND;Individuālais uzņēmums;1998-04-16;; ;Rīga, Detlava Brantkalna iela 19 - 50;1082;111715450;0;100003003;0010000;
40008186633;LV03ZZZ40008186633;"""Z Fonds""";"";Z Fonds;"";0;B;Biedrību un nodibinājumu reģistrs;NOD;Nodibinājums;2011-11-29;; ;Rīga, Dzirnavu iela 100 - 32;1050;118256573;0;100003003;0010000;
40103271658;LV30ZZZ40103271658;"SIA ""EPOWER""";SIA;EPOWER;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2010-02-02;2019-09-20;L;Rīga, Piedrujas iela 11;1073;101964724;0;100003003;0010000;
40103614038;LV64ZZZ40103614038;"Sabiedrība ar ierobežotu atbildību ""Fantes""";Sabiedrība ar ierobežotu atbildību;Fantes;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2012-12-06;2019-09-20;L;Rīga, Gaujas iela 29A - 2;1026;118694038;0;100003003;0010000;
40008108573;LV07ZZZ40008108573;"Dzīvokļu īpašnieku biedrība ""DIMANTS""";Dzīvokļu īpašnieku biedrība;DIMANTS;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2006-11-22;; ;Rīga, Kurzemes prospekts 26;1067;101846877;0;100003003;0010000;
40008253510;LV76ZZZ40008253510;"Dzīvokļu īpašnieku biedrība ""Jūras nami""";Dzīvokļu īpašnieku biedrība;Jūras nami;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2016-07-05;2018-09-17;L;Liepāja, Atmodas bulvāris 6 - 2;3414;115126274;0;100003044;0170000;
40003312610;LV82ZZZ40003312610;"Sabiedrība ar ierobežotu atbildību ""LIK M""";Sabiedrība ar ierobežotu atbildību;LIK M;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1996-10-11;2019-09-30;L;Rīga, Bukultu iela 10;1005;102643040;0;100003003;0010000;
41502026359;"";"IK ""REGĪNAS ZIEDI""";IK;REGĪNAS ZIEDI;"";0;K;Komercreģistrs;IK;Individuālais komersants;2007-02-22;2012-04-12;L;Daugavpils, Brīvības iela 11;5415;101795744;0;100003011;0050000;
44102016174;LV07ZZZ44102016174;"""SATVL"" IK";"";SATVL;IK;0;K;Komercreģistrs;IK;Individuālais komersants;1996-11-12;2015-09-11;L;Valkas nov., Valka, Rīgas iela 17;4701;101186306;100016286;100003696;0940201;
50003899131;LV76ZZZ50003899131;"SIA ""Movolo""";SIA;Movolo;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2007-02-16;2018-04-24;L;Rīga, Maskavas iela 222C - 15;1019;112336883;0;100003003;0010000;
40103264675;LV03ZZZ40103264675;"Sabiedrība ar ierobežotu atbildību ""GM BIROJS""";Sabiedrība ar ierobežotu atbildību;GM BIROJS;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2009-12-15;2018-09-04;L;Siguldas nov., Sigulda, Mazā Gāles iela 1;2150;103726574;100015380;100003591;0801615;
40001008853;LV77ZZZ40001008853;"Tukuma rajona Kandavas pagasta zemnieku saimniecība ""REMESI-2""";Tukuma rajona Kandavas pagasta zemnieku saimniecība;REMESI-2;"";0;U;Uzņēmumu reģistra žurnāls;ZEM;Zemnieku saimniecība;1997-04-02;; ;"Tukuma nov., Kandavas pag., ""Remesi-2""";3120;100014161;100016710;0;0901262;
